review_id,bucket,username,display_name,account_id,target_community_short_name,target_community_id,suggested_contrasts,expected_judgment,grok_tpot_status,grok_top_communities,grok_confidence,grok_bridge_account,grok_rationale,human_judgment,human_confidence,human_note
core-tft-lchoshen,core,LChoshen,Leshem Choshen 🤖🤗,1006797311593377792,TfT-Coordination,2667e9f4-96f6-4ce4-be86-4cc486074ae1,,in,,,,,,,,
boundary-ai-creativity-abrleth,boundary,abrleth,Derek Bredensteiner,950577478484951042,AI-Creativity,75253db7-a0b3-4056-bb8d-5c15124c20c9,Quiet-Creatives|Internet-Intellectuals,in,,,,,,,,
boundary-ai-safety-ohabryka,boundary,ohabryka,Oliver Habryka,450679540,AI-Safety,0a924ce4-c724-4e19-8941-b0776fc497e5,Tech-Intellectuals|Core-TPOT|Internet-Intellectuals,in,,,,,,,,
boundary-collective-intelligence-rtk254,boundary,rtk254,Ronen Tamari,1065316525417160705,Collective-Intelligence,1258b4fc-ae72-49ca-a2eb-7aacda9a2763,TfT-Coordination,in,,,,,,,,
boundary-contemplative-danallison,boundary,danallison,Dan Allison,14213298,Contemplative-Practitioners,3839f31d-fafb-4007-a83c-7f59b3fa9b24,Quiet-Creatives,in,,,,,,,,
boundary-core-tpot-arizerner,boundary,AriZerner,Ari Zerner,1563248269899079681,Core-TPOT,b6d646a2-203e-43c3-940b-22c9a4d55c3c,Tech-Intellectuals,in,,,,,,,,
boundary-highbies-cxgonzalez,boundary,cxgonzalez,christian,585462708,highbies,2f55a25a-db7d-4748-8373-b7034edc4f91,Core-TPOT|Relational-Explorers,in,,,,,,,,
boundary-internet-intellectuals-roberthaisfield,boundary,RobertHaisfield,Rob Haisfield,350969975,Internet-Intellectuals,2697d395-dea5-49ae-8d0a-192d52277ec4,TfT-Coordination|Tech-Intellectuals,in,,,,,,,,
boundary-llm-whisperers-plinz,boundary,Plinz,Joscha Bach,28131948,LLM-Whisperers,7152b213-75b3-4951-8b37-1616a5a33030,highbies|Tech-Intellectuals,in,,,,,,,,
boundary-qualia-bryan-johnson,boundary,bryan_johnson,Bryan Johnson,17468569,Qualia-Research,d022d0f8-72c3-4c60-80ce-3305d9f1d758,Tech-Intellectuals|Contemplative-Practitioners,in,,,,,,,,
boundary-queer-tpot-toinpu,boundary,toinpu,tonio,1075436522973863936,Queer-TPOT,a5a01615-c3cf-4434-a029-3d5026802d56,Internet-Intellectuals,in,,,,,,,,
boundary-relational-liquidprismata,boundary,liquidprismata,lıquıdprısm 🜄,283457350,Relational-Explorers,92ad6165-31a5-4b71-bddf-129e91ecdf78,Queer-TPOT|Quiet-Creatives,in,,,,,,,,
boundary-tech-intellectuals-vamsi0x,boundary,vamsi0x,Vamsi Alluri,18015302,Tech-Intellectuals,4a9ed00e-61ee-404f-9051-e5d6b860e503,TfT-Coordination|Collective-Intelligence,in,,,,,,,,
hardneg-ai-safety-demis,hard_negative,demishassabis,Demis Hassabis,1482581556,AI-Safety,0a924ce4-c724-4e19-8941-b0776fc497e5,LLM-Whisperers|Tech-Intellectuals,out,,,,,,,,
hardneg-contemplative-huberman,hard_negative,hubermanlab,"Andrew D. Huberman, Ph.D.",4416456732,Contemplative-Practitioners,3839f31d-fafb-4007-a83c-7f59b3fa9b24,Qualia-Research,out,,,,,,,,
hardneg-internet-intellectuals-dwarkesh,hard_negative,dwarkesh_sp,Dwarkesh Patel,1209960539390201864,Internet-Intellectuals,2697d395-dea5-49ae-8d0a-192d52277ec4,Tech-Intellectuals,out,,,,,,,,
hardneg-internet-intellectuals-noahpinion,hard_negative,Noahpinion,Noah Smith 🐇🇺🇸🇺🇦🇹🇼,281877818,Internet-Intellectuals,2697d395-dea5-49ae-8d0a-192d52277ec4,Tech-Intellectuals,out,,,,,,,,
hardneg-internet-intellectuals-paulg,hard_negative,paulg,Paul Graham,183749519,Internet-Intellectuals,2697d395-dea5-49ae-8d0a-192d52277ec4,Tech-Intellectuals,out,,,,,,,,
hardneg-llm-whisperers-emollick,hard_negative,emollick,Ethan Mollick,39125788,LLM-Whisperers,7152b213-75b3-4951-8b37-1616a5a33030,Tech-Intellectuals,out,,,,,,,,
hardneg-llm-whisperers-karpathy,hard_negative,karpathy,Andrej Karpathy,33836629,LLM-Whisperers,7152b213-75b3-4951-8b37-1616a5a33030,Tech-Intellectuals,out,,,,,,,,
hardneg-qualia-deepak-chopra,hard_negative,DeepakChopra,,15588657,Qualia-Research,d022d0f8-72c3-4c60-80ce-3305d9f1d758,Contemplative-Practitioners,out,,,,,,,,
hardneg-tech-intellectuals-balajis,hard_negative,balajis,Balaji,2178012643,Tech-Intellectuals,4a9ed00e-61ee-404f-9051-e5d6b860e503,Internet-Intellectuals,out,,,,,,,,
hardneg-tech-intellectuals-lexfridman,hard_negative,lexfridman,Lex Fridman,427089628,Tech-Intellectuals,4a9ed00e-61ee-404f-9051-e5d6b860e503,Internet-Intellectuals,out,,,,,,,,
hardneg-tech-intellectuals-naval,hard_negative,naval,Naval,745273,Tech-Intellectuals,4a9ed00e-61ee-404f-9051-e5d6b860e503,Internet-Intellectuals,out,,,,,,,,
hardneg-tech-intellectuals-pmarca,hard_negative,pmarca,Marc Andreessen 🇺🇸,5943622,Tech-Intellectuals,4a9ed00e-61ee-404f-9051-e5d6b860e503,Internet-Intellectuals,out,,,,,,,,
